year,year_type,state_name,state_code,category,variable_id,variable_name,value,unit,confidence,original_value,original_unit,notes
1860,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,3957915.0,head,high,3957915.0,head,
1860,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,2408586.0,head,high,2408586.0,head,
1860,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,432890.0,head,high,432890.0,head,
1860,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,278265.0,head,high,278265.0,head,
1860,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,83366.0,head,high,83366.0,head,
1860,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,722332.0,head,high,722332.0,head,
1860,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,32476.0,head,high,32476.0,head,
1865,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,3724813.0,head,high,3724813.0,head,
1865,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,1961905.0,head,high,1961905.0,head,
1865,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,848346.0,head,high,848346.0,head,
1865,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,158057.0,head,high,158057.0,head,
1865,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,90020.0,head,high,90020.0,head,
1865,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,621337.0,head,high,621337.0,head,
1865,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,45148.0,head,high,45148.0,head,
1870,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,4276326.0,head,high,4276326.0,head,
1870,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,2195096.0,head,high,2195096.0,head,
1870,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,1076630.0,head,high,1076630.0,head,
1870,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,136832.0,head,high,136832.0,head,
1870,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,101459.0,head,high,101459.0,head,
1870,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,721096.0,head,high,721096.0,head,
1870,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,45213.0,head,high,45213.0,head,
1875,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,6389610.0,head,high,6389610.0,head,
1875,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,3134086.0,head,high,3134086.0,head,
1875,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,1812576.0,head,high,1812576.0,head,
1875,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,219240.0,head,high,219240.0,head,
1875,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,118694.0,head,high,118694.0,head,
1875,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1054598.0,head,high,1054598.0,head,
1875,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,50416.0,head,high,50416.0,head,
1880,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,7523000.0,head,high,7523000.0,head,
1880,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,2580040.0,head,high,2580040.0,head,
1880,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,19720.0,head,high,19720.0,head,
1880,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,3162752.0,head,high,3162752.0,head,
1880,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,283315.0,head,high,283315.0,head,
1880,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,127187.0,head,high,127187.0,head,
1880,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1286267.0,head,high,1286267.0,head,
1880,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,63719.0,head,high,63719.0,head,
1885,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,7397947.0,head,high,7397947.0,head,
1885,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,1317315.0,head,high,1317315.0,head,
1885,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,146562.0,head,high,146562.0,head,
1885,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,4162652.0,head,high,4162652.0,head,
1885,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,271578.0,head,high,271578.0,head,
1885,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,138642.0,head,high,138642.0,head,
1885,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1290790.0,head,high,1290790.0,head,
1885,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,70408.0,head,high,70408.0,head,
1890,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,10299913.0,head,high,10299913.0,head,
1890,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,2091229.0,head,high,2091229.0,head,
1890,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,214094.0,head,high,214094.0,head,
1890,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,5558264.0,head,high,5558264.0,head,
1890,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,359938.0,head,high,359938.0,head,
1890,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,162440.0,head,high,162440.0,head,
1890,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1782978.0,head,high,1782978.0,head,
1890,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,130970.0,head,high,130970.0,head,
1895,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,11767488.0,head,high,11767488.0,head,
1895,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,2150057.0,head,high,2150057.0,head,
1895,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,280957.0,head,high,280957.0,head,
1895,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,6822401.0,head,high,6822401.0,head,
1895,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,355867.0,head,high,355867.0,head,
1895,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,162801.0,head,high,162801.0,head,
1895,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1795314.0,head,high,1795314.0,head,
1895,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,200091.0,head,high,200091.0,head,
1900,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,8640225.0,head,high,8640225.0,head,
1900,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,1983116.0,head,high,1983116.0,head,
1900,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,257667.0,head,high,257667.0,head,
1900,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,4078191.0,head,high,4078191.0,head,
1900,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,214761.0,head,high,214761.0,head,
1900,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,165516.0,head,high,165516.0,head,
1900,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1602384.0,head,high,1602384.0,head,
1900,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,338590.0,head,high,338590.0,head,
1901,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,8493678.0,head,high,8493678.0,head,
1901,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,2047454.0,head,high,2047454.0,head,
1901,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,3772707.0,head,high,3772707.0,head,
1901,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,480777.0,head,high,480777.0,head,
1901,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,168661.0,head,high,168661.0,head,
1901,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1625532.0,head,high,1625532.0,head,
1901,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,398547.0,head,high,398547.0,head,
1902,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,7067242.0,head,high,7067242.0,head,
1902,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,1741226.0,head,high,1741226.0,head,
1902,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,2543471.0,head,high,2543471.0,head,
1902,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,519163.0,head,high,519163.0,head,
1902,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,177566.0,head,high,177566.0,head,
1902,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1648680.0,head,high,1648680.0,head,
1902,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,437136.0,head,high,437136.0,head,
1903,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,7254258.0,head,high,7254258.0,head,
1903,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,1880578.0,head,high,1880578.0,head,
1903,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,2481717.0,head,high,2481717.0,head,
1903,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,536580.0,head,high,536580.0,head,
1903,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,185938.0,head,high,185938.0,head,
1903,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1671828.0,head,high,1671828.0,head,
1903,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,497617.0,head,high,497617.0,head,
1904,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,7849520.0,head,high,7849520.0,head,
1904,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,2149129.0,head,high,2149129.0,head,
1904,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,2722340.0,head,high,2722340.0,head,
1904,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,520379.0,head,high,520379.0,head,
1904,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,201206.0,head,high,201206.0,head,
1904,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1694976.0,head,high,1694976.0,head,
1904,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,561490.0,head,high,561490.0,head,
1905,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,8525025.0,head,high,8525025.0,head,
1905,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,2337973.0,head,high,2337973.0,head,
1905,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,2963695.0,head,high,2963695.0,head,
1905,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,647631.0,head,high,647631.0,head,
1905,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,206211.0,head,high,206211.0,head,
1905,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1737690.0,head,high,1737690.0,head,
1905,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,631825.0,head,high,631825.0,head,
1906,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,9349409.0,head,high,9349409.0,head,
1906,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,2549944.0,head,high,2549944.0,head,
1906,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,354371.0,head,high,354371.0,head,
1906,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,3413919.0,head,high,3413919.0,head,
1906,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,325724.0,head,high,325724.0,head,
1906,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,211117.0,head,high,211117.0,head,
1906,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1804323.0,head,high,1804323.0,head,
1906,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,690011.0,head,high,690011.0,head,
1907,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,10128486.0,head,high,10128486.0,head,
1907,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,2751193.0,head,high,2751193.0,head,
1907,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,374683.0,head,high,374683.0,head,
1907,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,3892232.0,head,high,3892232.0,head,
1907,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,334671.0,head,high,334671.0,head,
1907,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,215523.0,head,high,215523.0,head,
1907,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1842807.0,head,high,1842807.0,head,
1907,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,717377.0,head,high,717377.0,head,
1908,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,10547679.0,head,high,10547679.0,head,
1908,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,2955934.0,head,high,2955934.0,head,
1908,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,407992.0,head,high,407992.0,head,
1908,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,4321600.0,head,high,4321600.0,head,
1908,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,340376.0,head,high,340376.0,head,
1908,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,205827.0,head,high,205827.0,head,
1908,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1574162.0,head,high,1574162.0,head,
1908,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,741788.0,head,high,741788.0,head,
1909,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,11040391.0,head,high,11040391.0,head,
1909,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,3027727.0,head,high,3027727.0,head,
1909,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,414046.0,head,high,414046.0,head,
1909,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,4711782.0,head,high,4711782.0,head,
1909,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,344034.0,head,high,344034.0,head,
1909,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,199945.0,head,high,199945.0,head,
1909,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1549640.0,head,high,1549640.0,head,
1909,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,793217.0,head,high,793217.0,head,
1910,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,11744714.0,head,high,11744714.0,head,
1910,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,3140307.0,head,high,3140307.0,head,
1910,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,513383.0,head,high,513383.0,head,
1910,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,5131699.0,head,high,5131699.0,head,
1910,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,384862.0,head,high,384862.0,head,
1910,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,201854.0,head,high,201854.0,head,
1910,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1547569.0,head,high,1547569.0,head,
1910,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,825040.0,head,high,825040.0,head,
1911,CY,Australian Capital Territory,ACT,herd,herd_total_cattle,Total cattle numbers,8412.0,head,high,8412.0,head,
1911,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,11828954.0,head,high,11828954.0,head,
1911,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,3185824.0,head,high,3185824.0,head,
1911,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,459780.0,head,high,459780.0,head,
1911,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,5073201.0,head,high,5073201.0,head,
1911,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,393566.0,head,high,393566.0,head,
1911,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,217406.0,head,high,217406.0,head,
1911,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1647127.0,head,high,1647127.0,head,
1911,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,843638.0,head,high,843638.0,head,
1912,CY,Australian Capital Territory,ACT,herd,herd_total_cattle,Total cattle numbers,7108.0,head,high,7108.0,head,
1912,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,11577259.0,head,high,11577259.0,head,
1912,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,3033726.0,head,high,3033726.0,head,
1912,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,405552.0,head,high,405552.0,head,
1912,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,5210891.0,head,high,5210891.0,head,
1912,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,383418.0,head,high,383418.0,head,
1912,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,222181.0,head,high,222181.0,head,
1912,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,1508089.0,head,high,1508089.0,head,
1912,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,806294.0,head,high,806294.0,head,
